idx	Year	arquivo	local	país	lat	lon	spp	soApis	sampes/hives	Plant Fam.	Plant gen.	Plant spp.	Notes
1	2020	ArstingstallKatherineA2020	Eastern Oregon	USA	44	-118.4	22/39/35						
7	2020	James 2020 Quantitative Amplicon Sequencing for Meta-DNA Analysis Reveals Patterns in Pollen Use by Bees	Kern River Canyon in Kern County, California	USA	36.5	-118.4	7						
Banerjee 	2015	Smart 2016 Land use in the Northern Great Plains region of the U.S. influences the survival and productivity of honey bee colonies	North Dakota	USA	47.4382908	-100.3867175	Apis	1					
39	2017	Smart 2017 A Comparison of Honey Bee-Collected Pollen From Working Agricultural Lands Using Light Microscopy and ITS Metabarcoding	North Dakota	USA	47.4382908	-100.3867175	Apis	1					
30	2015	Cornman 2015 Taxonomic Characterization of Honey Bee (Apis mellifera) Pollen Foraging Based on Non-Overlapping Paired-End Sequencing of Nuclear Ribosomal Loci	“Prairie Pothole” Region of southeastern North Dakota	USA	46.4802872	-97.9605445	Apis	1					
9	2019	Lau 2019 Seasonal variation of pollen collected by honey bees (Apis mellifera) in developed areas across four regions in the USA	California (CA; Bay Area and Sacramento), Texas (TX; Austin and College Station), Florida (FL; Orlando and Tampa), and Michigan (MI; Detroit and East Lansing)	USA	37.76	-96.55	Apis	1					
13	2020	McMinn-Sauder 2020 Flowers in Conservation Reserve Program (CRP) Pollinator Plantings and the Upper Midwest Agricultural Landscape Supporting Honey Bees	Ohio, South Dakota, Indiana, Illinois, and Michigan	USA	43.43	-92.39	Apis	1					
75	2022	Simanokov Comparison of microscopy and metabarcoding to identify pollen used by the critically endangered rusty patched bumble bee, Bombus affinis	Michigan	USA	44.1822	-84.5068							
37	2015	Richardson 2015 Rank‐based characterization of pollen assemblages collected by honey bees using a multi‐locus metabarcoding approach	west-central Ohio	USA	40.1911528	-83.734915	Apis	1					
36	2015	Richardson 2015 Application of ITS2 metabarcoding to determine the provenance of pollen collected by honey bees in an agroecosystem	Madison County, Ohio	USA	39.8888411	-83.3930921	Apis	1					
82	2022	Lin Soybean is a Common Nectar Source for Honey Bees (Hymenoptera: Apidae) in a Midwestern Agricultural Landscape	Ohio	USA	40.367474	-82.9962							
20	2018	Richardson 2018 Quantitative multi‐locus metabarcoding and waggle dance interpretation reveal honey bee spring foraging patterns in Midwest agroecosystems	central Ohio	USA	40.3	-82.8	Apis	1					
21	2019	Richardson 2019 Honey bee pollen foraging ecology across an urbanization gradient	central Ohio	USA	40.3	-82.8	Apis	1					
22	2021	Richardson 2021 Application of plant metabarcoding to identify diverse honey bee pollen forage along an urban-agricultural gradient	central Ohio	USA	40.3	-82.8	Apis	1					
3	2017	Bell_2017_polen_metabarcoding_plant_pollinator	Florida	USA	28	-82	38						
56	2021	Decolle, A. Masters thesis: Plants and fungal diversity analysed by DNA Metabarcoding on canadian pollen sample of honeybees (Apis Mellifera L.) along an urban-rural gradient and across seasons	Toronto	Canada	43.7737	-79.521	Apis mellifera	1					
28	2020	Vaudo 2020 Introduced bees (Osmia cornifrons) collect pollen from both coevolved and novel host-plant species within their family-level phylogenetic preferences	Biglerville, PA	USA	40	-77.3	Megachilidae: Osmia cornifrons						
