kingdom,phylum,order,family,genus,species,Melipona rufiventris.honey,Scaptotrigona sp.honey,Tetragonisca angustula.honey,Melipona rufiventris.pollen,Scaptotrigona sp.pollen,Tetragonisca angustula.pollen
Viridiplantae,Streptophyta,Malpighiales,Phyllanthaceae,Richeria,Richeria grandis,0.031701613,0.04908959,0.103289643,0.003195127,0.017147336,0.11587461
Viridiplantae,Streptophyta,Caryophyllales,Nyctaginaceae,Guapira,Guapira graciliflora,0.005728046,0.01176125,0.011058019,0.021313581,0.05157933,0.033765153
Viridiplantae,Streptophyta,Chloranthales,Chloranthaceae,Hedyosmum,Hedyosmum brasiliense,0,0.002348549,0.009707114,0.000876727,0.009968737,0.058315309
Viridiplantae,Streptophyta,Sapindales,Anacardiaceae,Toxicodendron,Toxicodendron succedaneum,0,0.000544875,0.003680035,0,0.000739306,0.020798548
Viridiplantae,Streptophyta,Sapindales,Anacardiaceae,Tapirira,Tapirira guianensis,0.025186942,0.028816383,0.046887892,0.017101583,0.078035028,0.123339256
Viridiplantae,Streptophyta,Malpighiales,Euphorbiaceae,Maprounea,Maprounea guianensis,0,0.000935763,0.004337173,0.009440702,0.006968491,0.061014985
Viridiplantae,Streptophyta,Rosales,Moraceae,Artocarpus,Artocarpus heterophyllus,0,0,0,0,0,0.0035682
Viridiplantae,Streptophyta,Malpighiales,Euphorbiaceae,Mabea,Mabea spc,0.007260717,0.020030242,0.158157058,0,0.006005854,0.000574275
Viridiplantae,Streptophyta,Apiales,Araliaceae,Schefflera,Schefflera macrocarpa,0,0,0,0,0.000279225,0.003392171
Viridiplantae,Streptophyta,Myrtales,Myrtaceae,Blepharocalyx,Blepharocalyx salicifolius,0.022217282,0.021905626,0.006617132,0.038418545,0.045468584,0.003388107
Viridiplantae,Streptophyta,Malpighiales,Malpighiaceae,Byrsonima,Byrsonima crassifolia,0,0,0.000395178,0,0,0.003962466
Viridiplantae,Streptophyta,Myrtales,Myrtaceae,Myrcia,Myrcia linearifolia,0.198122056,0.104899313,0.135873102,0.351701408,0.103821599,0.036466646
Viridiplantae,Streptophyta,Santalales,Loranthaceae,Struthanthus/Psittacanthus,Struthanthus/Psittacanthus spc,0.1199666,0.214142512,0.049335574,0.130155032,0.155139321,0.02371625
Viridiplantae,Streptophyta,Malpighiales,Clusiaceae,Clusia,Clusia criuva,0,0.008773272,0.003870332,0,0.001000263,0.01525123
Viridiplantae,Streptophyta,Malpighiales,Malpighiaceae,Byrsonima,Byrsonima pachyphylla,0,0.019873587,0.021491294,0.00080049,0.006201705,0.045271661
Viridiplantae,Streptophyta,Malpighiales,Malpighiaceae,Byrsonima,Byrsonima viminifolia,0,0,0.001571075,0,0,0.00174156
Viridiplantae,Streptophyta,Myrtales,Myrtaceae,Syzygium,Syzygium cumini,0.183157677,0.256541683,0.188754372,0.018019125,0.119774617,0.143884711
Viridiplantae,Streptophyta,Malpighiales,Chrysobalanaceae,Couepia,Couepia spc,0,0.003269248,0,0,0.001202693,0.005351315
Viridiplantae,Streptophyta,Rosales,Cannabaceae,Trema,Trema micranthum,0,0,0.000465515,0,0,0.001266293
